EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
1,51,Female,Marketing,Divorced,Manager,Team Leader,Frequently,5,Doctor,3,33,3,5,4,4,No,23,5,11,1,4,11,11,8,3,No,4
2,24,Female,Marketing,Married,Marketer,Marketer,Rarely,1,High School,5,49,2,5,1,2,Yes,15,1,6,2,2,6,6,1,8,No,2
3,44,Female,HR,Single,Marketer,Marketer,Occasionally,9,College,2,75,4,5,4,1,Yes,10,3,7,0,5,7,7,7,2,Yes,2
4,28,Male,HR,Married,Manager,Manager,Rarely,4,College,5,52,2,5,1,1,No,21,5,8,3,4,8,8,6,4,No,5
5,33,Male,Technical,Single,Analyst,Data Analyst,Rarely,1,Doctor,3,68,2,3,4,0,Yes,22,4,3,1,3,3,3,0,5,Yes,4
6,27,Male,Technical,Single,Sales Rep,Sales Rep,Rarely,18,Doctor,1,40,2,4,2,6,No,13,5,4,4,1,4,4,7,8,No,2
7,29,Female,Technical,Divorced,Marketer,Marketing Manager,Frequently,16,Master,1,53,4,1,3,1,Yes,16,2,5,5,3,5,5,9,10,Yes,3
8,28,Female,Finance,Married,Manager,Team Leader,Frequently,19,Bachelor,1,74,1,2,2,1,No,13,1,12,5,2,12,12,5,3,No,4
9,60,Male,Other,Single,Analyst,Data Analyst,Frequently,7,High School,3,37,4,1,2,4,Yes,20,5,8,2,3,8,8,1,1,Yes,5
10,26,Female,Marketing,Married,Analyst,Data Analyst,Rarely,6,College,4,48,1,5,5,5,Yes,14,1,8,4,2,8,8,10,10,Yes,3
11,44,Male,HR,Divorced,Manager,Manager,Occasionally,24,Doctor,5,26,1,3,5,0,No,25,5,10,2,4,10,10,4,2,No,5
12,60,Female,Marketing,Single,Engineer,Developer,Occasionally,5,College,3,54,4,3,1,4,Yes,17,2,3,3,1,3,3,4,1,No,4
13,46,Male,HR,Single,Sales Rep,Sales Manager,Frequently,11,Master,4,60,3,1,3,3,No,21,5,2,2,3,2,2,4,2,Yes,2
14,32,Female,Marketing,Single,Marketer,Marketer,Frequently,15,Doctor,1,28,2,1,1,3,No,19,2,7,2,2,7,7,6,7,No,4
15,36,Female,Other,Divorced,Sales Rep,Sales Manager,Frequently,6,Bachelor,1,29,1,4,3,4,Yes,15,5,3,1,3,3,3,8,6,No,3
16,23,Male,Other,Divorced,Sales Rep,Sales Manager,Frequently,1,College,3,47,2,1,5,7,Yes,13,2,1,4,4,1,1,9,1,No,3
17,50,Male,Finance,Divorced,Engineer,Developer,Frequently,18,Bachelor,2,68,4,5,5,0,No,21,3,7,5,2,7,7,7,10,Yes,4
18,41,Female,Technical,Single,Marketer,Marketing Manager,Occasionally,29,College,5,66,3,3,2,4,No,23,2,3,5,5,3,3,7,7,No,2
19,40,Male,Other,Single,Engineer,Engineer,Frequently,18,Master,4,48,3,2,5,5,No,12,2,6,5,4,6,6,7,1,No,4
20,26,Male,Technical,Married,Sales Rep,Sales Rep,Rarely,21,College,2,41,1,5,2,1,No,11,1,5,4,3,5,5,9,5,Yes,2
21,32,Male,Technical,Divorced,Analyst,Data Analyst,Rarely,29,High School,1,72,2,5,4,5,Yes,23,2,8,0,5,8,8,1,5,Yes,5
22,38,Male,HR,Divorced,Manager,Team Leader,Occasionally,17,Bachelor,3,37,2,4,2,2,No,20,3,8,0,1,8,8,6,9,Yes,4
23,50,Male,Finance,Married,Manager,Manager,Frequently,26,College,4,35,3,4,1,3,Yes,18,3,12,4,3,12,12,5,2,Yes,4
24,37,Male,Other,Single,Analyst,Analyst,Frequently,26,College,4,23,4,3,5,7,No,22,2,4,5,1,4,4,10,2,Yes,4
25,57,Female,HR,Single,Marketer,Marketing Manager,Occasionally,16,Master,5,68,3,4,4,6,No,16,4,4,3,3,4,4,6,10,No,2
